actor_id,movie_id,role
51,304743,"Undetermined Role"
52,209100,Rashid
53,163971,Himself
55,129829,Himself
55,138307,Himself
55,141875,"Li Xiao"
55,212624,"Tennis Trainer"
56,250721,"Celtic Warrior"
57,251538,
58,350570,Ghantayya
59,252016,RaviKumar
60,1487,Himself
60,2040,Himself
60,2394,Himself
60,235417,
60,305024,Himself
60,350570,Pleader
60,364376,"Test Taker No. 3"
60,378707,Host
60,391621,Himself
60,398179,"Himself - Yellow Team"
61,287805,
62,246902,
63,18472,
63,43313,
63,200749,
63,216281,
63,239310,
64,64258,
64,210390,
64,403915,"Pak Lurah"
65,318646,Sathyam
66,312495,Brahma
67,60552,
67,165993,
67,199261,
67,204096,
67,217194,
67,247128,"Kampanna Dora"
67,251677,
67,288157,
67,312488,
67,312495,"Akasa Raju"
67,350570,Judge
67,354669,
68,6512,Pønker
69,51297,"O.G. Hansen"
69,166846,"En skomakerlærling"
69,173149,
69,264300,"Espen Askeladd"
69,312238,"Et spøkelse"
70,10334,"Alexander Nyberg"
70,94351,Professoren
70,129166,"Ola Nordistua"
70,166846,Jeppe
70,219001,
70,315378,"Evensen, kirketjener"
70,340251,"Piper, direktør"
70,347003,Krestoffer
70,349902,"Jensen Sr."
71,48130,"Høyland jr."
71,51863,
71,109137,"Fredrik Holm, doktor"
71,144061,"Ole Grong, advokat"
71,178434,Doktor
71,178436,"Anton Schack"
71,240313,"Gregor Ivanow"
71,261141,"Per Haug, provisor"
71,304976,Himself
71,312238,
71,338729,"Alexander Hassler"
71,345718,
72,225687,Aske
73,37480,Slick
74,61276,"Maj. Whitman"
74,165223,Human
74,263169,"Uncle Alfred"
75,181077,
75,389600,Daniel
76,322463,Stian
77,123572,"Policeman at Chauri Chaura"
77,240089,Tekniker
78,240392,
78,298650,
79,232749,Konsap
79,370596,
80,58684,Mechanic
80,142231,"Ung mann hos teatersjefen"
81,346995,
82,262148,"Himself - Singer/Musician (gu"
83,166604,Himself
83,237304,Harmonikaspiller
83,397074,"Jernbanearbejder (harmonika)"
84,249472,
85,28884,Dunke
86,153219,Himself
86,212334,"Himself - Participant/Perform"
86,225683,Svend
86,393474,Jesus
86,393477,Himself/Jesus
87,354606,"Den nye oppasseren"
88,323958,
89,32861,"Onkel Thorstein"
90,15827,
90,173335,
90,242248,
90,267642,Marten
91,143429,"Michael Elliott"
91,277868,
91,311186,"Russel the Muscle"
92,20034,"Teddy Hutchins"
92,23316,"Tommy Addison"
92,37555,Joe
92,39988,"Little Boy"
92,50974,"Student Leader"
92,58641,Rusty
92,83985,"Don Heldon"
92,84250,"Eli Skinner"
92,133949,Boy
92,144861,Boy
92,148840,"Johnny 'Small Warrior' Lowe"
92,166839,"Bobby Stilwin"
92,191242,"Johnny Briscoe"
92,216026,Arthur
92,218650,"Chuck Taylor"
92,218745,Willy
92,224327,Boy
92,233930,Donovan
92,237598,"J. B. Dorset aka Red Chief (T"
92,271072,"Larry's Friend"
92,277804,"Timmy Williams"
92,308109,"Alternate Boy"
92,323435,Corney
92,379326,Rusty
93,42686,"Himself (special award recipi"
93,255707,Himself/Script
93,291686,Patient
94,2256,Nabil
94,3182,Rico
94,96424,"Jonas Teorén"
94,163496,"Managers assistant"
94,210286,Carlos
94,281015,"El esposo"
94,284138,Tommy
95,138489,Judge
96,196471,"Thug #3"
97,256275,"Taxi Driver"
98,223197,"Himself - Musician (guitarist"
99,55126,Vicar
99,297027,
100,248215,Sami
101,197493,"Punakaartilainen 7"
102,176704,"Tuba player"
102,183967,
102,193554,Vacationer
102,348727,Harri
103,283478,"Nuori Vanki Joulunvietossa"
106,392349,"Himself - the host (1995-1997"
106,394962,"Himself - reporter (19??-199?"
106,409748,"Himself - the host"
107,177898,Conductor
107,278875,Musician
107,303708,
108,352612,
109,24289,"Man on lecture"
111,176704,Teacher
111,328684,"Various characters"
112,9533,Printer
112,153756,Painter
112,170519,"Jussi Metelinen"
112,196525,Jaakko
112,233244,"Pehtoori (Manager of an estat"
112,282146,
112,293820,Sailor
112,307139,Oskari
112,320384,Lumberjack
112,321973,Merchant
112,341543,Kivinen
112,341793,Juror
112,343466,Janitor
112,350590,Perälä
112,354259,Virkkula
113,255762,
114,14278,
115,103155,HD-kauppias
115,182216,Himself
115,182538,"Member of "The Creatures" ban"
115,273341,Himself
115,324482,"Costume designer"
115,397925,
116,38767,
116,100011,Paakkila
116,141887,Taksikuski
116,153095,"Sakari Urpela"
116,165803,"Kauppias Vähä-Kääkkönen"
116,168790,"Venäläinen #2"
116,169542,
116,171584,"2. Poliisi"
116,172294,"Kunnanlääkäri Rautonen"
116,187568,"Gangsteri Nitti"
116,237243,
116,278367,Painter
116,283746,"Kosti Mäkinen"
116,301430,Sopimuspäällillö
116,341808,Sexström
116,349140,"Myyjä Alkossa"
116,349147,"Tarmon anopin yhtiön johtokun"
116,349440,Saarinen
116,354260,"Pentti Lehmusto"
116,357785,"Ruotsin kenraali"
116,401125,"Pentti Reunanen"
116,402792,"Liikemies Hallvik"
117,21384,Juippi
117,176704,"Man spreading red carpet"
118,176704,Percussionist
119,9533,Jäger
119,215112,Boy
120,230125,"Target #1"
121,317650,
122,31188,"Himself (ABC Team)"
122,31191,"Himself (ABC Team)"
122,61616,Himself
122,64556,Himself/performer
122,64560,"Himself (performer--human can"
122,98155,"Tommy Bradford"
122,98156,"Tommy Bradford"
122,98157,Himself
122,108329,Donny
122,118918,"William Frankenstein"
122,159499,"Tommy Allo"
122,224981,Chema
122,248429,David
122,283440,
122,289691,"Kenny Stevens"
122,335126,"Tom Swift"
122,348070,Gum
122,373990,"Peyton Nichols"
122,381654,"Benjamin Franklin (12 years o"
122,381842,Bibleman
122,383923,"Buddy Lembeck"
122,387114,"Hank the Ranger"
122,387309,"Robbie Hamlin (1983)"
122,387374,"Tommy Bradford (1977-1981)"
122,388362,"T.J. Latimer (1976-1977)"
122,403335,"Young Wesley Jordache (1976)"
122,407175,"Fred Robinson"
122,410710,"Kenny Platt"
123,239489,"Participant (Alpine skiing)"
124,181082,"Anton Møller, lensmann"
125,5218,Kollege
125,160521,"Tom Engen"
125,240113,
125,404785,"Kalle Moe"
125,409930,"P.K. Sunde (2 episodes 1998)"
126,147018,Himself
127,118318,
127,131897,
127,369075,
128,12737,"Ed Cameron"
128,27210,"Arthur Ferris"
128,51746,George
128,72464,Edgar
128,72515,Policeman
128,74215,Sims
128,94856,"Senior detective"
128,95499,"Mr. Brownless"
128,134202,
128,144785,"Jack Turnbull"
128,279413,Mac
128,281800,"Drouin Citizen"
128,291840,
128,364502,
128,380191,
128,381608,"Jim Bacon"
128,382312,"Insp. Arthur Ferris"
128,383658,
128,396892,
128,402012,"Jimmy Summers"
128,405960,"Ron Jackson"
128,411366,"Prosecuting Sergeant (Episode"
129,356843,"Bygdas lensmann"
130,255762,"Voice of God"
130,301430,"Vekkilän lapsi#1"
131,33190,"Presidential Aide"
132,250861,Willy
133,239588,"Street kid"
133,304538,
134,84713,Dharmanna
134,184018,
134,271762,Thanisha
134,272705,
135,137187,Bruno
136,149730,Clyde
136,157036,Wiley
136,270697,"Rollerskating penguin"
137,232749,Kohlapuu
138,115688,"Vriend van Johnny"
139,74048,"Children of Castor Fan"
140,59880,Father
141,322316,
142,134256,Bondedreng
143,202322,Slim
144,303533,"Flic USA 1"
144,313562,
144,328263,Biotechie
145,170921,
146,24430,"Voice on Dr. Evil's telephone"
146,93756,"Street crew"
146,107265,"Brun Coach"
146,121578,Himself
146,145050,Kirk
146,408643,"Himself (2002)"
147,314501,"Soda Delivery Man"
148,299443,Himself
149,37012,Cabbie
149,256188,"Tourist Dad"
149,270971,"Prison guard #1"
149,313141,"Bakery Foreman"
150,185764,Michael
151,45652,"Hank Bartlowski at 13"
151,370648,"Bernard Stoltz"
152,88653,Dancer/Sailor
153,330550,"Helicopter Pilot"
154,176496,Waiter
155,70217,Himself
156,62778,Dancer
157,285322,Rodney
158,138402,Himself
158,158900,Himself
158,167615,"Himself (MLB, Hall of Famer)"
158,253851,"Witness for the defense"
158,318692,"Hank Aaron"
158,362865,Himself
158,362866,Himself
158,381356,Himself
158,403155,Himself
159,109570,Frank
159,169433,
159,199467,
159,219526,Steward
159,311632,Carstairs
160,327840,"Henry (Slater Mill Boys)"
161,123371,Renfro
161,336914,"Allen Davis"
162,153651,Fiance
162,343201,"Best Man"
162,380256,"Park Patron"
163,72709,"Finnegan Jones"
164,18982,Himself
164,194918,Himself
164,383803,"Himself (segment "First Step""
165,135509,Dilip
166,254762,"Lab Director"
167,90342,"Deputy Jebb McQuarrie"
167,159764,
167,187685,
167,201821,Himself
167,336764,"Simon Yates"
167,347708,McNab
167,381211,"Pvt. Robert 'Popeye' Wynn"
167,388791,Sion
168,325587,Regisseur
169,365960,Rabbi
171,156785,"Tom Packard"
172,75717,"Man in bar"
172,93958,Doorman
172,202657,"Mr. Mandel"
172,302130,"Old Man #1"
173,60253,"Young Morris Applebaum"
173,185780,"Dr. Eisen/Janitor Murry Saltz"
173,350191,"Young Bob"
174,1300,"Quincy Tarantula"
175,87879,"David Silwell"
175,287509,Harris
176,166639,"Matthew Carew"
176,193202,Terry
177,49347,"Hispanic Man"
177,72697,Touch
177,126282,Ulzana
177,253335,"John Sleepwater"
177,301635,
177,318977,"Webster Skyhorse"
177,385895,Gomez
178,88933,Himself
179,692,Himself
179,2498,Himself
179,57665,"Himself - Contributor"
179,364588,Himself
179,400150,Himself
180,263791,Tony
180,385020,"Jon Lindsay (1997-1998)"
180,403047,"Cab Driver"
181,107069,Panhandler
182,6865,"Janitor #1"
182,97581,"Fred Ott"
182,105707,
182,157595,Smitty
182,176480,Priest
182,222756,"Diamond Merchant #2"
182,249163,"Policeman - V.A. Hospital"
182,254923,Bastianelli
182,293155,Vagrant
182,349022,"Man on street #1"
184,11525,"Financial Editor"
185,346368,Boy
186,115869,"Security Guard"
186,326620,"Waiter in Trouble"
187,215941,
187,217601,Ismailoff
187,372972,Lisma
188,206671,"Malvern Cop"
188,318457,
189,116986,Trekkspiller
190,399508,Drengen
191,389138,"Kontorist hos Løvdahl"
192,142491,Kid
193,359894,
194,298650,Himself
195,180443,Tukkilainen
196,254768,Persfotograaf
197,387323,"Redactielid (1995-1996)"
198,356555,Voorbijganger
199,326954,
199,393734,Narrator
200,9239,
201,405931,"Movie reviewer"
202,2063,Sjefen
202,11787,"Thorsen, Mettes venn"
202,29890,"Philip Noel-Baker"
202,42556,Direktøren
202,105827,
202,145474,"Orheim, psykolog"
202,173252,"Arne, arbeidskam."
202,178429,
202,181161,Redaktør
202,190818,"Engineer Borgheim"
202,198057,
202,214353,Leonid
202,223204,"Ludvig, dikter"
202,240109,"Larsen, sjåførlærer"
202,240117,"Brock-Larsen, finansmann"
202,242692,
202,244068,Finansminister
202,248190,"Wollert, profeten"
202,271687,Ingeniøren
202,304238,"Robert Westerlie"
202,305858,Hugo
202,334277,Overstyrmann
202,345990,Legen
202,349776,"Arild, soldat"
202,387196,Kristoffer
202,398251,Kommissarien
202,405575,"Hans Nilsen Fennefos"
203,278510,
204,39111,
204,172843,Ellingsen
205,399510,"Peter Lycke"
206,1807,Bårebærer
207,219879,
208,398497,"Participant (2001)"
209,137745,"Cowboy Son"
210,378936,"Participant (2001)"
211,287550,Brennevinshandleren
212,316635,"Hitman #1"
213,34028,Giant
213,59599,"Giant Man"
213,134717,"Circus giant"
213,139547,"Giant in 'Why Worry'"
213,187483,Shorty
213,193913,
213,300023,"Very tall golfer"
213,314930,Giant
213,342843,"The Giant"
213,364691,Colosso
214,262129,Paramedic
214,288387,"MiCI 1"
215,51639,"Sir Chug-a-Lot"
216,181314,Photographer
217,403537,"Participant, 'among the 4 bes"
218,321466,Striker
219,94273,Arne
219,399855,"Programleder (2001) (host)"
219,406512,"Programlder (host)"
220,383583,Programleder
221,91471,
221,165407,
222,175562,"Shoe Merchant"
222,271754,Vicki/sonu
223,40493,"The Piano Guy"
223,119879,"Stoned Man #1"
223,142809,"Ginger Baker"
223,176499,"The Zendic Kid"
223,272661,"Jon Fontana"
223,276240,"Featured Graveyard Undead #1/"
223,304243,Sullivan
223,343055,"Young Man"
223,348608,"P.A. Kevin"
223,406908,Billy
224,220198,"Himself - Sailor"
225,181799,Himself
226,28990,
226,153643,Sergei
226,205672,Ludwig
226,214792,"German general"
226,268007,
226,319967,Taanlane
226,341609,"Finnish policeman"
226,400449,
227,95826,Unski
227,145131,Oskarsson
227,174209,"Aarne Mustonen"
227,174478,
227,177897,"Prisoner of war"
227,179621,Grisu
227,213379,"Restaurant owner"
227,214835,"Erik Juhana Stenvall"
227,240329,
227,255935,"Kalle Aukustinpoika"
227,293820,Harri
227,349947,Romsu
228,126115,
228,129755,
228,171628,
228,226586,
228,308266,Gottfried
229,256622,Pirate
230,343459,
231,104729,Himself
231,104777,"Turkish entry (16th place)"
232,73538,child
233,28092,Doctor
235,83037,"Postière 1"
236,328674,
237,376777,
238,53574,
239,104769,"Himself - Spanish Entry (18th"
239,400341,"Himself - Productor discográf"
240,405412,Federico
241,210590,
242,222512,Interrogateur
243,353637,
244,266479,
245,124115,"Police Officer"
246,309007,Himself
247,395861,
247,401438,
248,355808,"Le petit garçon du cortège"
249,236458,"Vidal Gandolfo"
249,399505,"Domènec Tubau"
250,233917,Luis
251,86730,
251,161827,
251,282118,Kane
251,288142,
252,157459,Himself
252,353864,"Un punk"
253,291612,"Nazi 2"
254,96349,Vagabundo
255,51703,Kamutri
255,66608,Guide
255,121301,
255,159227,Tribesman
255,179763,Hector
255,187444,
256,20649,
257,159201,"Cory Franklin"
257,161840,Pete
257,224487,Himself/Dancer
257,237798,Jerry
258,46938,
258,328130,Himself
258,347369,"Radio Announcer"
259,133834,Sheriff
259,362224,
260,296206,Weight-lifter
261,8602,
262,205760,Peter
263,276309,"Un contremaître"
264,220478,Stéphane
265,346892,Passerby
266,179745,
267,56174,"Chu Ling"
268,70648,
268,294710,
269,293857,
269,300508,
270,129649,
270,288358,
270,317293,Georgi
271,230043,
272,132139,"Man in Crowd #7"
273,213396,
274,127674,Newsman/Waiter
274,217931,
274,253105,"Desk Clerk"
274,281608,
274,317711,Armando
274,358768,Artist
275,77,Himself
275,56871,"French Policeman"
276,107909,"Tow Truck driver"
276,271003,"Evelyns Driver"
277,367822,Photographer
278,62459,
279,126933,
280,24671,
280,238463,Ali
282,13492,
283,352301,
284,18632,
284,59365,
284,211464,
284,253091,
284,253563,
284,255498,Frenchman
284,263406,
284,303789,"Japanese Ambassador"
284,313726,
284,316432,
284,324336,
284,357340,
284,370132,
284,387149,
284,397683,
284,400448,
285,132221,"Dead Pile"
286,171107,
287,153239,Yesayi
287,184209,Gago
288,50971,"Garçon casting 1"
289,263678,
289,349217,
290,7375,"Master Abu Laboke"
290,131537,"Vietnamese Student"
291,264985,
292,63574,
293,60142,Raptor
294,41164,"Gary Rembrandt"
295,92663,
295,378958,"Federico Ramos"
295,391440,
295,402630,Fede
295,402721,
295,405918,
296,313049,"Ganas kid"
297,30964,"Batman/Bruce Wayne"
297,74493,
297,80788,
297,149651,
297,154589,
297,176853,
297,183832,
297,269958,Omar
297,325313,
297,358504,
298,62356,
298,236065,
298,295498,
298,317241,
298,378720,
299,84498,
300,243712,"Ramon's Friend"
301,70833,
302,221708,
303,334683,Luisito
305,269841,"L'arc en Ciel Band"
306,21307,Himself
306,225804,"Himself (Tightrope Walker)"
307,286291,
308,339855,Kapitein
309,129812,Johnny
310,118924,Stonemason
310,178477,"Angelika's husband"
310,181360,
310,220144,Player
310,237701,
310,261670,Sosnowski
310,328798,"Jan Otis"
310,375474,
311,111035,
311,236164,
311,382219,Maurice
312,100707,
313,397009,"Papá Evelyn"
314,202599,
315,86279,"Director (WZDC)"
315,262647,Cop
316,43661,
316,96354,"Carlos Belascoaran"
316,287886,
316,380445,"Mariano Jiménez"
316,381650,Fabricio
316,391572,Francisco
316,396211,Renato
316,398794,Gerardo
316,402219,"José María 'Chema' Ramos Lópe"
316,405955,
317,131944,
317,374461,
318,23853,"(segment "Pesnya, ili Kak vel"
318,79255,"Arkipo Sethuri"
318,228540,Gaulatsune
319,13492,
319,19501,"Prince Vahvari"
319,19502,Mikho
319,19602,Shavlegi
319,21868,
319,30623,Abdoushahili
319,50062,Gedeoni
319,61086,Bochi
319,62859,Bichino
319,86240,Sosana
319,86252,"Mamamze Eristavi"
319,127929,Rezo
319,176019,Aluda
319,179694,
319,182253,"Kvarkavre Tutaberi"
319,200053,
319,202256,
319,208006,Margaya
319,209090,Ushangi
319,212305,
319,216550,"Head of Agrocultural Company"
319,221406,
319,243494,Gogi
319,253795,
319,255536,"Head of Police"
319,256682,
319,256696,Jasoni
319,259042,
319,268574,
319,270410,
319,282242,Niko
319,302430,Aleqsandre
319,328945,Driver
319,341221,Aslani
319,341233,Nestor
319,344094,Dodo
319,352283,"Head of Police"
319,374669,"Film Director"
319,374670,Gocha
320,4826,Piliceman
320,62856,Tedo
320,63592,Vaja
320,129217,Gabro
320,162720,Dato
320,208610,
320,285089,Elgudja
320,341240,Badri
321,9394,"Nikusha Chachanidze"
321,16548,
321,19507,
321,46198,
321,132193,
321,243719,
321,253795,
321,271847,
321,287960,
322,288639,
323,20878,
323,175955,Grandpa
323,268815,
324,138937,
325,269140,
326,93223,"Aquarium Security Guard"
326,126663,Vendor
326,138669,"Mafia Guy Applicant"
326,171227,Lederhosen
326,340765,Guard
327,233316,
327,301291,
327,313888,
327,341216,
327,378291,
328,357697,
329,18088,
330,82743,"Street Kid"
331,14564,Sandro
331,20751,"Damiano Fortezza"
331,20794,Felice
331,20795,
331,23571,Aldarico/Attila
331,29774,Matteo
331,52871,Dario
331,52880,Tangaro
331,53016,Camillo
331,69141,Umberto
331,97164,Donato/Tirzan/Franco
331,108875,Fornaio
331,111891,Felice
331,111906,"Capo delle 'Belve'"
331,112643,Tommaso
331,132807,"Mago di Segrate"
331,162053,Sergio
331,189290,Lucio
331,205488,"Alberto Brogini"
331,206320,Ponchia
331,207947,Paolo
331,209489,"Nicola Lorusso"
331,212094,"Paolo Torregiani"
331,217116,
331,217609,Voice
331,229601,"Fulvio Colombo"
331,233188,Solo
331,247967,"Padre Gabriele"
331,248056,"Il King"
331,252641,Joseph
331,263240,"L'esattore della luce"
331,266897,"Mario Tozzi"
331,270883,Nicola
331,272453,"Domingo Ras"
331,274785,"Franco Mattioli"
331,279243,"Franco Mattioli"
331,281108,"Il Secco"
331,289211,"Il tifoso"
331,289330,Ducho
331,291556,Piero
331,315939,Dario
331,324460,Diego
331,328891,"Angelo Beliossi"
331,332747,Zebrone
331,336197,Franco
331,338003,
331,342038,Dario
331,344611,Duccio
331,349520,Galeazzo
331,349532,
331,355762,"Achille Cotone"
331,355820,"Padre Pedro"
331,384758,"Commissario Corso"
331,386329,Diego
331,387944,"Commissario Corso"
331,390128,
331,404686,"Orso, the desertor"
332,50993,"Mari africain"
332,62459,
333,189396,
333,317572,
334,198,
334,64245,
334,307440,
334,334479,
335,189295,
335,229425,
336,365194,Bartender
337,10150,Demon
337,11426,"Dr. David Wyckoff"
337,24137,"Maitre D'"
337,46529,Sam
337,65754,Administrator
337,72106,Peter
337,79938,"Talk Show Host"
337,81652,"Restaurant Owner"
337,108333,"Examiner #2"
337,115470,"Dishevelled Man"
337,154040,"Court Clerk"
337,163492,"Second Cuban"
337,186680,"Yogi Gupta"
337,213097,
337,223026,Lucien
337,285049,"Phil Lombardi"
337,296808,"Deputy Hank Hart"
337,304822,Locke
337,317902,Salazar
337,337098,McKlellen
337,340732,"Glen Fulton"
337,346902,Repairman
338,145238,
339,256260,Bizie
340,281402,"Patron #1"
341,130016,"Old Man"
341,200063,Lenny
341,224192,Mobster
341,276858,"Dr. Vernon Peck"
342,249819,"Boy in Bath"
343,164157,Detective
343,166274,
343,253522,"Le chauffeur de taxi"
343,283021,
344,120635,Officer
344,213352,"Lord William"
345,103951,
346,307741,"Westtech Security #2"
347,53617,
347,104718,Himself
347,104730,Host
347,104779,Host
347,387959,"Himself - Co- Presenter (2004"
347,405465,Raci
348,269722,Jhong
349,135366,
350,25982,
350,97990,
351,25536,"Abdel Hakim Amer"
352,8596,
352,8603,
352,9751,
352,12257,
352,14440,
352,15314,
352,15350,
352,19608,
352,23166,Hamdi
352,25490,
352,25999,Kamal
352,27759,
352,37717,
352,77123,
352,88342,Bigeard
352,98102,"Mohamed El-Guindy"
352,100224,
352,100901,Ahmed
352,111829,
352,117984,
352,122699,
352,124213,"Ahmed Ezzat"
352,140430,Khaled
352,140851,
352,147082,
352,153304,
352,159963,
352,162237,
352,164058,
352,172637,
352,174638,
352,176073,
352,180542,"Samy, The Director)"
352,183008,
352,184307,
352,187638,
352,201234,
352,202114,
352,202422,
352,208268,
352,214129,
352,214332,
352,216683,
352,221766,
352,222464,
352,222889,
352,222989,Amin
352,229470,
352,260882,
352,271591,
352,272952,"Ahmed Ragab"
352,286764,
352,294637,
352,297144,"Saad Selim"
352,298859,
352,303351,
352,309598,
352,324286,
352,324941,Saber
352,324992,
352,324993,
352,327685,
352,334769,
352,358012,Mahmud
352,370134,
352,372391,
352,375923,
353,409281,
354,244185,
355,187325,Omar
356,173011,
357,409010,
357,410403,
358,259713,"cameriere del Baloon"
358,269739,Impiegato
359,90154,Soldier
360,116882,Himself
361,16151,"Jimmy Edward Benedictus"
361,169017,Joni
362,11446,"Fat Ira"
363,24339,Conductor
363,65387,Himself
363,129042,Conductor
363,141779,Conductor
363,148614,Conductor
363,197927,Conductor
363,276076,"Himself (conductor)"
364,388646,Karim
365,396649,
366,5192,"Santa Lucia Club Owner"
367,37693,
367,102769,
367,231885,"Intimate Strangers Segment"
367,319910,Policeman
367,380039,
368,16182,
368,18068,"Rajnath Guru"
368,83741,
368,135941,
368,137812,
368,139993,
368,164768,
368,171992,Arun
368,173317,
368,210215,
368,214723,"Rajiv Samuel"
368,246314,"Nilambari's nephew"
368,247292,Anand
368,273417,
368,285825,
368,299456,
368,320408,
369,5932,"Arab guard"
369,16684,
369,20625,Extra
369,24705,"Mexican Vendor"
369,32066,Hoodlum
369,36970,
369,96829,"Carnival Townsman"
369,112582,"Construction worker"
369,164862,
369,177528,Arab
369,183627,"Man With Potted Palm"
369,198844,Arabian
369,223913,"Fireman/Egyptian porter"
369,303112,"Arab Singer"
369,346185,
369,360482,
370,171938,
371,217096,
372,23298,
372,53853,Sabonete
372,63821,
372,70771,
372,184299,
372,213736,
372,275029,
372,276572,Lucas
372,295094,
372,333696,
372,344755,
372,361081,
372,380086,
372,380154,
372,383243,Teodoro
372,383677,Vitório
372,383907,
372,388641,
372,389789,Delacroix
372,390507,
372,392846,
372,393463,
372,393876,
372,394600,
372,395366,João
372,395405,
372,398362,
372,400597,
372,401199,Padilha
372,401482,
372,402264,Guedes
372,404271,Pedro
372,405808,
372,408315,
372,409407,Homero
372,409902,
372,409937,Indalécio
372,411579,
372,412270,
373,129737,Shukri
373,300565,Spy
373,332419,Jaber
373,371908,Nadim
374,171724,"Balti Porter"
375,209,"Karl Meyer"
375,43144,Artist
375,109789,"Quentin Sylvester"
375,114177,"Sampson Cavor"
375,125874,
375,136538,"Biergarten Manager"
375,159542,
375,199342,"Le Blanc"
375,203553,Nichols
375,239746,"Wizista, the hypnotist"
375,241627,Driver
375,252441,"Old Spanish Jew"
375,264054,Murray
375,275411,"Burgher at auction"
375,281358,
375,290336,Moses
375,358976,Zapportas
375,358977,"Isaachar the Miser"
376,237087,"Prime Minister of Palestine ("
377,77047,
377,93103,Abbas
377,174148,Mohan
377,272173,Pappu
377,375202,
378,149953,"Head Kidnapper"
378,202080,Ibrahim
379,312532,
380,62716,
381,344356,
382,131215,Kamel
383,234872,Niaz
384,47973,Asif
384,137930,"Attendant to Claudius"
384,160034,Journalist
384,403462,"Nazir Mailk"
384,408637,"Tariq Khan"
385,86593,
385,344279,
385,357212,
386,301291,
387,187325,Conductor
388,162734,
389,172079,
389,330353,Coolie
390,252009,
391,66308,"Hitman #1"
391,224184,"Construction worker"
391,304716,"Carlo D'Agnese"
391,330890,"DeGrazio Soldier Outside Ware"
392,5372,"Lucio Dawla, the singer"
392,96523,
394,102616,"Prof. Marino"
394,124567,
394,129039,
394,229603,"Vincenzo Rapallo"
394,270840,
394,272855,
394,286980,
394,342025,
394,355236,"Gen. Martini"
394,356223,"Mario's father"
394,390092,
394,409441,
395,12912,"Monsignor Rea"
395,17671,
395,25859,
395,56328,Terenzi
395,56354,"7th Brigadist"
395,61367,Gianluca
395,63890,
395,68781,
395,69219,
395,86064,Terrorist
395,94638,Maresciallo
395,97167,Schoolmaster
395,111159,"Prof. De Angelis"
395,121898,
395,156547,Vincas
395,212499,Mele
